Avg_Credit_Limit,Total_Credit_Cards,Total_visits_bank,Total_visits_online,Total_calls_made,Cluster
13000,4,1,5,7,2
15000,3,2,3,6,2
17000,3,0,2,8,2
15000,2,0,5,8,2
15000,1,1,5,9,2
19000,1,0,3,10,2
14000,3,0,2,8,2
16000,2,0,4,5,2
9000,4,1,4,8,2
9000,2,1,5,4,2
10000,4,2,4,8,2
13000,3,0,4,4,2
13000,2,1,3,9,2
5000,2,2,5,6,2
7000,1,2,2,10,2
14000,2,1,2,7,2
11000,3,2,2,9,2
19000,1,1,4,4,2
15000,3,2,2,6,2
7000,4,0,4,6,2
8000,4,2,3,10,2
19000,1,1,4,5,2
12000,3,2,5,7,2
17000,1,2,5,8,2
10000,3,2,5,9,2
8000,1,2,2,4,2
7000,1,0,3,10,2
8000,3,2,5,5,2
16000,3,0,5,10,2
13000,4,0,4,8,2
14000,1,0,4,9,2
13000,4,0,4,7,2
15000,4,2,3,6,2
9000,1,1,4,9,2
14000,3,1,4,7,2
7000,2,1,2,8,2
6000,2,2,3,7,2
20000,2,0,5,6,2
9000,2,1,5,8,2
17000,4,1,2,7,2
11000,2,2,2,5,2
14000,3,0,4,8,2
6000,1,1,4,7,2
19000,2,2,3,4,2
10000,1,0,3,5,2
13000,3,0,2,10,2
11000,3,0,3,7,2
16000,1,2,5,8,2
14000,4,0,2,4,2
18000,3,0,4,4,2
9000,1,2,2,6,2
16000,2,2,3,8,2
17000,2,0,3,5,2
6000,3,2,3,5,2
20000,3,0,4,10,2
10000,2,1,3,6,2
20000,3,0,3,5,2
6000,2,2,5,8,2
12000,2,0,4,4,2
8000,2,1,4,8,2
14000,2,0,2,8,2
12000,1,1,2,7,2
19000,1,1,4,7,2
7000,4,2,4,9,2
8000,3,0,2,9,2
11000,1,0,3,8,2
5000,1,0,3,8,2
9000,2,0,3,7,2
17000,2,2,5,5,2
17000,1,0,5,5,2
17000,2,1,2,4,2
19000,4,2,4,4,2
11000,2,0,3,9,2
9000,1,0,2,9,2
16000,4,1,4,6,2
10000,3,1,5,4,2
10000,3,1,3,4,2
8000,1,0,2,10,2
15000,4,1,4,9,2
11000,3,1,5,4,2
11000,4,0,2,5,2
19000,3,1,5,7,2
13000,2,1,5,8,2
8000,1,0,3,10,2
7000,2,2,5,6,2
20000,4,1,3,10,2
20000,2,2,4,10,2
12000,4,1,5,9,2
16000,4,1,2,5,2
8000,1,2,4,8,2
8000,2,2,3,8,2
10000,7,2,0,0,0
8000,7,2,1,4,0
17000,4,5,0,2,0
19000,6,3,2,3,0
20000,5,4,1,0,0
13000,7,2,1,0,0
16000,6,5,0,4,0
13000,7,4,0,0,0
8000,7,5,2,3,0
8000,6,4,0,4,0
19000,5,2,2,0,0
16000,5,2,0,0,0
20000,4,2,2,1,0
10000,4,5,1,3,0
8000,4,3,2,4,0
12000,6,4,2,1,0
5000,7,3,2,4,0
10000,4,2,1,0,0
7000,4,5,0,1,0
19000,7,3,1,2,0
11000,6,5,1,0,0
9000,6,5,2,0,0
18000,6,3,1,4,0
18000,6,2,1,2,0
9000,4,5,0,4,0
18000,6,2,1,4,0
16000,4,3,1,0,0
7000,5,5,2,3,0
13000,7,3,1,4,0
10000,6,4,2,3,0
12000,6,3,2,1,0
6000,4,4,1,4,0
15000,4,5,1,0,0
18000,5,3,0,4,0
14000,5,4,2,1,0
14000,4,2,0,0,0
17000,4,4,1,2,0
9000,7,4,2,1,0
20000,7,5,0,0,0
15000,6,4,0,1,0
17000,6,5,0,0,0
16000,5,5,1,2,0
10000,4,5,2,1,0
7000,7,2,0,4,0
17000,6,2,2,4,0
18000,6,5,2,1,0
10000,5,5,1,3,0
16000,6,2,1,3,0
15000,4,5,2,0,0
17000,4,5,0,4,0
10000,7,4,2,4,0
6000,6,5,2,1,0
7000,6,4,1,2,0
14000,7,2,0,0,0
6000,6,3,1,1,0
7000,4,3,1,0,0
12000,7,2,1,2,0
11000,5,5,2,4,0
8000,4,5,0,0,0
19000,7,2,0,1,0
7000,5,2,2,4,0
7000,6,5,2,2,0
18000,6,3,1,0,0
5000,7,3,2,2,0
17000,4,3,0,4,0
6000,5,2,1,0,0
7000,6,5,2,3,0
11000,4,4,0,2,0
7000,7,4,0,0,0
12000,6,5,0,2,0
9000,6,5,2,3,0
15000,6,5,0,0,0
8000,6,4,2,4,0
17000,4,2,2,2,0
13000,4,5,2,2,0
16000,4,4,2,4,0
19000,6,5,1,4,0
19000,6,3,0,0,0
8000,5,3,2,1,0
10000,4,5,0,3,0
14000,6,5,2,3,0
5000,4,5,0,1,0
10000,6,3,0,0,0
5000,7,3,1,4,0
7000,4,2,2,4,2
12000,7,3,1,2,0
19000,4,3,1,3,0
18000,6,4,0,2,0
5000,5,5,0,4,0
14000,6,4,0,3,0
8000,6,2,0,3,0
12000,6,5,2,1,0
9000,7,5,0,0,0
8000,6,3,1,2,0
6000,4,2,2,2,0
14000,4,4,2,3,0
6000,4,4,2,3,0
11000,5,5,1,1,0
14000,4,4,2,1,0
5000,7,4,2,4,0
19000,6,3,1,2,0
18000,6,5,2,0,0
17000,7,3,1,0,0
15000,5,4,2,2,0
8000,7,4,2,0,0
19000,6,5,2,0,0
12000,4,4,2,1,0
6000,7,2,0,4,0
20000,6,2,0,1,0
10000,6,3,1,1,0
7000,6,3,1,1,0
18000,4,3,2,0,0
9000,6,4,2,3,0
6000,5,3,2,4,0
16000,5,2,2,1,0
14000,7,4,2,1,0
19000,6,3,0,1,0
5000,6,2,0,3,0
18000,4,4,2,3,0
11000,7,3,2,3,0
11000,5,2,0,2,0
12000,7,2,0,1,0
15000,5,2,0,0,0
9000,5,4,1,3,0
9000,7,4,0,2,0
10000,5,5,1,4,0
16000,6,5,1,1,0
7000,4,4,2,2,0
9000,5,2,2,0,0
8000,4,2,0,2,0
14000,6,3,0,1,0
20000,5,5,2,1,0
6000,5,2,0,1,0
13000,6,4,2,3,0
13000,7,5,0,2,0
17000,7,5,0,3,0
8000,4,3,2,1,0
20000,4,3,0,3,0
19000,6,4,1,3,0
11000,5,3,2,3,0
6000,5,2,2,1,0
17000,6,5,1,1,0
6000,4,5,0,1,0
18000,6,5,0,4,0
16000,6,3,1,3,0
13000,5,4,1,2,0
19000,5,2,0,4,0
6000,7,2,0,3,0
13000,7,2,0,4,0
19000,4,2,0,1,0
6000,6,3,2,3,0
18000,5,3,1,3,0
8000,4,4,0,0,0
18000,5,2,2,2,0
8000,7,3,0,3,0
12000,5,4,2,1,0
11000,4,5,0,3,0
11000,4,2,0,4,0
13000,4,5,0,0,0
6000,4,4,0,0,0
20000,4,2,0,1,0
13000,7,4,0,1,0
73000,6,4,2,0,0
49000,5,3,2,0,0
67000,6,2,2,2,0
61000,7,3,0,1,0
75000,7,3,2,4,0
48000,4,4,0,3,0
56000,4,2,0,2,0
72000,4,3,2,1,0
70000,7,2,0,4,0
51000,7,3,0,4,0
73000,6,2,0,2,0
50000,5,4,0,1,0
49000,5,3,0,1,0
69000,7,2,2,2,0
40000,5,2,2,2,0
44000,4,5,0,2,0
31000,6,5,2,1,0
37000,7,5,0,1,0
65000,4,3,0,3,0
48000,7,3,2,3,0
46000,5,2,2,3,0
61000,5,5,1,4,0
74000,5,2,0,0,0
58000,6,4,0,1,0
39000,5,3,2,2,0
70000,5,5,0,4,0
56000,6,3,1,0,0
52000,5,3,0,3,0
33000,5,4,2,0,0
47000,6,2,0,4,0
71000,7,2,0,2,0
50000,7,5,2,2,0
56000,4,4,0,3,0
41000,4,4,1,0,0
71000,6,4,0,0,0
72000,6,5,2,3,0
59000,6,2,1,2,0
64000,6,3,2,3,0
45000,4,2,1,2,0
74000,4,5,0,3,0
73000,4,2,1,1,0
54000,6,3,0,2,0
31000,7,2,1,4,0
66000,7,4,0,3,0
50000,5,3,0,3,0
27000,6,2,1,3,0
51000,4,3,0,3,0
65000,6,5,2,3,0
67000,6,5,2,0,0
43000,7,5,0,4,0
70000,5,4,0,2,0
61000,5,2,2,1,0
31000,4,4,2,1,0
36000,4,3,2,3,0
51000,7,3,2,0,0
36000,4,4,2,2,0
50000,5,4,2,3,0
74000,4,4,0,3,0
25000,4,3,0,2,0
41000,6,5,2,3,0
57000,5,2,0,4,0
67000,7,2,1,3,0
74000,7,4,2,4,0
26000,6,4,2,3,0
38000,4,4,2,3,0
75000,4,4,0,1,0
38000,4,5,1,4,0
52000,4,2,1,2,0
48000,5,5,0,2,0
70000,6,2,0,3,0
36000,4,4,2,1,0
36000,5,5,0,4,0
66000,6,2,1,1,0
37000,5,5,1,4,0
48000,6,3,2,2,0
35000,6,3,1,4,0
26000,6,3,1,2,0
38000,4,3,1,4,0
45000,5,5,2,2,0
70000,6,5,0,4,0
51000,7,5,2,4,0
34000,6,3,2,1,0
47000,7,3,2,2,0
47000,6,2,0,0,0
30000,7,3,1,0,0
74000,4,2,0,4,0
30000,5,4,1,1,0
28000,5,4,1,1,0
58000,7,3,2,1,0
64000,4,2,2,2,0
39000,7,5,2,1,0
44000,6,4,0,2,0
50000,7,5,2,1,0
65000,4,2,0,0,0
63000,4,5,0,0,0
50000,6,4,2,0,0
35000,6,2,1,4,0
29000,4,3,0,1,0
56000,7,3,0,3,0
49000,5,3,2,3,0
31000,4,4,1,0,0
68000,6,4,2,2,0
41000,5,4,0,4,0
38000,6,3,1,0,0
54000,6,2,2,4,0
70000,6,3,0,0,0
34000,6,5,1,0,0
68000,5,2,0,2,0
26000,6,5,2,3,0
42000,6,3,2,0,0
59000,7,2,0,3,0
30000,4,4,2,1,0
33000,6,2,2,2,0
49000,6,2,0,2,0
62000,6,2,1,3,0
40000,5,3,1,4,0
30000,5,2,2,3,0
37000,4,4,2,2,0
32000,7,4,0,3,0
62000,4,2,2,3,0
36000,7,4,0,2,0
57000,7,2,0,0,0
39000,6,4,0,4,0
70000,4,3,2,2,0
36000,7,5,0,0,0
69000,6,3,0,2,0
59000,7,3,2,4,0
71000,5,4,1,0,0
29000,4,2,2,3,0
37000,5,2,1,3,0
34000,4,3,0,1,0
34000,6,3,2,4,0
38000,4,3,0,0,0
32000,4,3,2,2,0
48000,4,3,2,2,0
36000,6,3,0,3,0
56000,6,4,0,3,0
28000,4,5,1,3,0
48000,4,4,1,0,0
68000,7,3,1,4,0
74000,7,4,1,3,0
70000,4,4,1,0,0
45000,7,2,0,3,0
60000,7,5,2,2,0
47000,5,5,1,2,0
60000,5,2,1,0,0
54000,6,3,1,2,0
28000,7,5,0,4,0
68000,7,2,1,4,0
26000,4,5,2,4,0
56000,4,3,0,4,0
39000,7,5,2,3,0
59000,7,5,2,3,0
37000,7,2,1,1,0
65000,7,3,2,1,0
41000,7,4,1,3,0
33000,5,2,2,0,0
52000,4,5,0,4,0
60000,4,5,0,4,0
62000,7,4,1,4,0
40000,6,5,1,2,0
41000,7,5,2,3,0
46000,6,3,1,0,0
29000,7,5,0,2,0
56000,7,3,0,1,0
69000,5,4,1,0,0
36000,7,4,0,0,0
69000,6,5,0,1,0
38000,6,5,0,1,0
29000,7,3,1,1,0
58000,6,5,1,0,0
72000,6,4,1,0,0
64000,4,2,1,1,0
36000,7,2,0,4,0
71000,7,4,0,2,0
66000,7,2,2,3,0
70000,4,3,2,0,0
73000,5,3,0,4,0
30000,6,3,1,1,0
44000,5,3,0,4,0
39000,7,5,0,3,0
65000,4,3,0,0,0
52000,4,5,2,1,0
26000,6,5,1,4,0
68000,6,5,1,0,0
52000,6,2,0,0,0
34000,6,4,1,3,0
39000,7,4,0,4,0
31000,7,3,0,2,0
70000,4,3,0,4,0
55000,4,3,1,0,0
29000,4,5,0,2,0
36000,6,2,2,3,0
68000,5,2,1,4,0
54000,5,4,2,1,0
66000,4,5,1,1,0
60000,4,2,1,4,0
41000,7,4,2,2,0
42000,6,4,2,0,0
38000,7,5,2,1,0
64000,5,4,1,2,0
57000,6,2,2,0,0
68000,7,5,0,0,0
33000,5,4,0,2,0
37000,7,4,0,1,0
60000,6,3,2,3,0
27000,7,3,0,2,0
36000,5,2,2,3,0
63000,5,3,1,3,0
34000,6,3,1,0,0
47000,4,4,1,0,0
38000,4,3,2,0,0
39000,7,2,1,0,0
46000,7,4,1,3,0
157000,9,1,14,1,1
94000,9,1,11,0,1
163000,8,1,7,1,1
131000,9,1,10,1,1
96000,10,1,11,2,1
136000,8,0,13,0,1
121000,7,0,13,2,1
158000,7,0,13,0,1
108000,10,0,15,1,1
166000,9,1,12,2,1
176000,10,1,15,2,1
166000,10,0,7,0,1
178000,7,0,11,0,1
91000,8,1,6,1,1
156000,9,1,10,2,1
146000,10,0,12,1,1
84000,9,1,15,0,1
155000,8,0,7,2,1
200000,10,0,13,0,1
195000,8,0,15,0,1
187000,7,1,7,0,1
163000,7,1,10,1,1
106000,8,0,8,1,1
114000,10,1,7,2,1
126000,10,1,8,0,1
173000,9,1,11,0,1
153000,8,1,7,1,1
184000,7,1,15,2,1
123000,8,1,15,2,1
144000,10,0,10,2,1
97000,10,1,9,2,1
98000,9,0,8,2,1
127000,10,1,15,1,1
171000,10,0,15,0,1
186000,7,0,8,1,1
183000,9,0,9,2,1
111000,8,1,7,0,1
112000,10,1,8,1,1
195000,10,1,12,2,1
132000,9,1,12,2,1
156000,8,1,8,0,1
95000,10,0,15,1,1
172000,10,1,9,1,1
99000,10,1,10,0,1
84000,10,1,13,2,1
145000,8,1,9,1,1
172000,10,1,15,0,1
167000,9,0,12,2,1
